Date,AAPL,SP500,NASDAQ
1994-04-01,0.2240943610668182,450.9100036621094,733.8400268554688
1994-05-01,0.2184924185276031,456.5,735.1900024414062
1994-06-01,0.1987316161394119,444.2699890136719,705.9600219726562
1994-07-01,0.2526327669620514,458.260009765625,722.1599731445312
1994-08-01,0.2713815569877624,475.489990234375,765.6199951171875
1994-09-01,0.253507912158966,462.7099914550781,764.2899780273438
1994-10-01,0.324998676776886,472.3500061035156,777.489990234375
1994-11-01,0.2803166806697845,453.6900024414063,750.3200073242188
1994-12-01,0.2943686842918396,459.2699890136719,751.9600219726562
1995-01-01,0.3047473132610321,470.4200134277344,755.2000122070312
1995-02-01,0.2981433272361755,487.3900146484375,793.72998046875
1995-03-01,0.2667955756187439,500.7099914550781,817.2100219726562
1995-04-01,0.2895018756389618,514.7100219726562,843.97998046875
1995-05-01,0.3145731687545776,533.4000244140625,864.5800170898438
1995-06-01,0.3524453043937683,544.75,933.4500122070312
1995-07-01,0.3415350615978241,562.0599975585938,1001.2100219726562
1995-08-01,0.3263558745384216,561.8800048828125,1020.1099853515624
1995-09-01,0.283486396074295,584.4099731445312,1043.5400390625
1995-10-01,0.2763520777225494,581.5,1036.06005859375
1995-11-01,0.2901458144187927,605.3699951171875,1059.199951171875
1995-12-01,0.2433363199234008,615.9299926757812,1052.1300048828125
1996-01-01,0.2108918875455856,636.02001953125,1059.7900390625
1996-02-01,0.2099376916885376,640.4299926757812,1100.050048828125
1996-03-01,0.1875123232603073,645.5,1101.4000244140625
1996-04-01,0.1860809624195099,654.1699829101562,1190.52001953125
1996-05-01,0.1994406133890152,669.1199951171875,1243.4300537109375
1996-06-01,0.1603158563375473,670.6300048828125,1185.02001953125
1996-07-01,0.1679503321647644,639.9500122070312,1080.5899658203125
1996-08-01,0.1851267516613006,651.989990234375,1141.5
1996-09-01,0.1693816184997558,687.3300170898438,1226.9200439453125
1996-10-01,0.1755838990211486,705.27001953125,1221.510009765625
1996-11-01,0.184172585606575,757.02001953125,1292.6099853515625
1996-12-01,0.159361645579338,740.739990234375,1291.030029296875
1997-01-01,0.1269171684980392,786.1599731445312,1379.8499755859375
1997-02-01,0.1240537017583847,790.8200073242188,1309.0
1997-03-01,0.139321744441986,757.1199951171875,1221.699951171875
1997-04-01,0.1297797560691833,801.3400268554688,1260.760009765625
1997-05-01,0.1269171684980392,848.280029296875,1400.3199462890625
1997-06-01,0.1087856441736221,885.1400146484375,1442.0699462890625
1997-07-01,0.1335965245962143,954.3099975585938,1593.81005859375
1997-08-01,0.1660410314798355,899.469970703125,1587.3199462890625
1997-09-01,0.1655639857053756,947.280029296875,1685.68994140625
1997-10-01,0.1300182938575744,914.6199951171876,1593.6099853515625
1997-11-01,0.1355049461126327,955.4000244140624,1600.550048828125
1997-12-01,0.1001978293061256,970.4299926757812,1570.3499755859375
1998-01-01,0.1397988647222519,980.280029296875,1619.3599853515625
1998-02-01,0.1803557574748993,1049.3399658203125,1770.510009765625
1998-03-01,0.2099376916885376,1101.75,1835.6800537109373
1998-04-01,0.2089835405349731,1111.75,1868.4100341796875
1998-05-01,0.2032574564218521,1090.8199462890625,1778.8699951171875
1998-06-01,0.2190026193857193,1133.8399658203125,1894.739990234375
1998-07-01,0.2643305957317352,1120.6700439453125,1872.3900146484373
1998-08-01,0.2380882650613784,957.280029296875,1499.25
1998-09-01,0.2910497486591339,1017.010009765625,1693.8399658203125
1998-10-01,0.2834153473377228,1098.6700439453125,1771.3900146484375
1998-11-01,0.2438134402036667,1163.6300048828125,1949.5400390625
1998-12-01,0.3125200569629669,1229.22998046875,2192.68994140625
1999-01-01,0.3144294023513794,1279.6400146484375,2505.889892578125
1999-02-01,0.2657618522644043,1238.3299560546875,2288.030029296875
1999-03-01,0.274350494146347,1286.3699951171875,2461.39990234375
1999-04-01,0.3511677980422973,1335.1800537109375,2542.860107421875
1999-05-01,0.3363769054412842,1301.8399658203125,2470.52001953125
1999-06-01,0.3535533249378204,1372.7099609375,2686.1201171875
1999-07-01,0.4251234233379364,1328.719970703125,2638.489990234375
1999-08-01,0.4981240034103393,1320.4100341796875,2739.35009765625
1999-09-01,0.4833331704139709,1282.7099609375,2746.159912109375
1999-10-01,0.6116815209388733,1362.9300537109375,2966.429931640625
1999-11-01,0.747186541557312,1388.9100341796875,3336.159912109375
1999-12-01,0.7848799824714661,1469.25,4069.31005859375
2000-01-01,0.7920366525650024,1394.4599609375,3940.35009765625
2000-02-01,0.8750578165054321,1366.4200439453125,4696.68994140625
2000-03-01,1.0368047952651978,1498.5799560546875,4572.830078125
2000-04-01,0.947104275226593,1452.4300537109375,3860.659912109375
2000-05-01,0.6412634253501892,1420.5999755859375,3400.909912109375
2000-06-01,0.7996708750724792,1454.5999755859375,3966.110107421875
